mazda,Mazda CX-60,2022,hybrid
bmw,BMW X6 xDrive40d,2023,diesel
opel,Opel Astra 1.6 CDTI DPF ecoFLEX Sports TourerStart/Stop Edition,2016,diesel
hyundai,Hyundai Elantra 1.6 Smart,2023,petrol
mercedes,Mercedes-Benz Klasa A 200 AMG Line 7G-DCT,2023,petrol
audi,Audi A5 45 TFSI mHEV Quattro Black Edition S tronic,2021,petrol
opel,Opel Astra VI 1.6 T Plug-in Hybrid GS,2023,hybrid
opel,Opel Corsa 1.2 GS Line S&S,2023,petrol
mercedes,Mercedes-Benz Klasa A 45 S AMG 4-Matic 8G-DCT,2020,petrol
opel,Opel Insignia 1.5 T GPF Innovation S&S,2018,petrol
hyundai,Hyundai ix35 1.7 CRDi 2WD Comfort,2012,diesel
audi,Audi Q7 3.0 TDI ultra Quattro Tiptronic,2016,diesel
renault,Renault Clio 1.2 16V Authentique,2006,petrol
ford,Ford Tourneo Connect Grand 1.5 EcoBlue Start/Stop Titanium,2018,diesel
dodge,Dodge Durango,2014,petrol
bmw,BMW M3 Evolution,1989,petrol
renault,Renault Clio 1.5 dCi ESP FAP Luxe,2009,diesel
bmw,BMW X3 xDrive20d,2022,diesel
opel,Opel Astra V 1.4 T Enjoy,2018,petrol
ford,Ford EDGE,2015,diesel
citroen,Citroën C5 Aircross 1.5 BlueHDi Shine Pack EAT8,2022,diesel
mercedes,Mercedes-Benz Klasa G,2018,petrol
citroen,Citroën C5X,2023,hybrid
jeep,Jeep Compass 1.5 T4 mHEV S FWD S&S DCT,2018,petrol
citroen,Citroën C5 Aircross 1.5 BlueHDi Shine Pack EAT8,2022,diesel
mercedes,Mercedes-Benz Klasa G,2018,petrol
jeep,Jeep Compass 1.5 T4 mHEV S FWD S&S DCT,2023,petrol
citroen,Citroën C5X,2023,hybrid
volvo,Volvo XC 70 3.2 AWD Momentum,2014,petrol
cupra,Cupra Formentor 1.5 TSI DSG,2023,petrol
renault,Renault Clio 0.9 Energy TCe Alize,2019,petrol
honda,Honda Civic 1.4 i-VTEC Sport,2012,petrol
"","","",""
bmw,BMW Seria 3 325d DPF Touring,2010,diesel
peugeot,Peugeot 308,2013,diesel
alfa,Alfa Romeo 159,2007,diesel
audi,Audi A6 Avant 3.0 TDI DPF clean diesel quattro S tronic sport selection,2011,diesel
citroen,Citroën C5X,2023,petrol
jeep,Jeep Gladiator 3.0 V6 MultiJet Overland,2022,diesel
volvo,Volvo XC 60,2023,diesel
volvo,Volvo S90,2022,hybrid
mercedes,Mercedes-Benz Klasa G 55 AMG,2008,petrol
opel,Opel Insignia 2.0 CDTI 4x4 ecoFLEX Start/Stop Edition,2011,diesel
citroen,Citroën C5X,2022,petrol
audi,Audi A7 3.0 TFSI Quattro S tronic,2012,petrol
volvo,Volvo V70 D4 AWD Dynamic Momentum,2014,diesel
opel,Opel Insignia 2.0 CDTI Business Edition S&S,2020,diesel
opel,Opel Insignia Sports Tourer 2.0 BiTurbo Diesel 4x4 Business Innovation,2018,diesel
opel,Opel Insignia 2.0 CDTI 4x4 Innovation S&S,2017,diesel
bmw,BMW Seria 7 740d xDrive mHEV sport,2022,diesel
renault,Renault Megane 1.5 Blue dCi Intens,2020,diesel
skoda,Skoda Octavia 1.6 TDI Greenline EU6,2015,diesel
peugeot,Peugeot 3008 1.6 PureTech HYbrid Allure S&S EAT8,2020,hybrid
lexus,Lexus NX,2018,hybrid
renault,Renault Trafic 2.0 dCi 115 L2H1,2010,diesel
volvo,Volvo XC 60,2023,hybrid
ford,Ford Focus 1.6 Trend,2015,petrol
bmw,BMW Seria 5 520d Touring Edition Exclusive,2009,diesel
skoda,Skoda Octavia 2.0 TDI DPF Elegance,2012,diesel
peugeot,Mercedes-Benz Klasa G 55 AMG,2008,petrol
citroen,Citroën C5X,2022,petrol
audi,Audi A7 3.0 TFSI Quattro S tronic,2012,petrol
volvo,Volvo V70 D4 AWD Dynamic Momentum,2014,diesel
opel,Opel Insignia 2.0 CDTI Business Edition S&S,2020,diesel
opel,Opel Insignia Sports Tourer 2.0 BiTurbo Diesel 4x4 Business Innovation,2018,diesel
"","","",""
opel,Opel Insignia 2.0 CDTI 4x4 Innovation S&S,2017,diesel
bmw,BMW Seria 7 740d xDrive mHEV sport,2022,diesel
renault,Renault Megane 1.5 Blue dCi Intens,2020,diesel
skoda,Skoda Octavia 1.6 TDI Greenline EU6,2015,diesel
renault,Renault Trafic 2.0 dCi 115 L2H1,2010,diesel
volvo,Volvo XC 60,2023,hybrid
peugeot,Peugeot 3008 1.6 PureTech HYbrid Allure S&S EAT8,2020,hybrid
lexus,Lexus NX,2018,hybrid
ford,Ford Focus 1.6 Trend,2015,petrol
bmw,BMW Seria 5 520d Touring Edition Exclusive,2009,diesel
skoda,Skoda Octavia 2.0 TDI DPF Elegance,2012,diesel
peugeot,Peugeot 508 SW BlueHDi 120 Stop&Start Active,2015,diesel
volkswagen,Volkswagen Passat,2020,petrol
mercedes,Mercedes-Benz GLE AMG 53 4-Matic,2021,petrol
opel,Opel Astra VI 1.5 CDTI Elegance S&S,2023,diesel
opel,Opel Astra VI 1.2 T Elegance S&S,2023,petrol
ford,Ford Tourneo Custom 320 L2H1 VA Autm Active,2022,diesel
mitsubishi,Mitsubishi Pajero 3.2 DID Intense +,2010,diesel
mercedes,Mercedes-Benz Klasa E 350 CDI DPF BlueEFFICIENCY 7G-TRONIC Avantgarde,2011,diesel
opel,Opel Astra VI 1.2 T Edition S&S,2023,petrol
hyundai,Hyundai i20 1.2 Comfort,2020,petrol
mercedes,Mercedes-Benz Klasa R 350 CDI 4-Matic,2011,diesel
volkswagen,Volkswagen CC 2.0 TDI DPF BMT DSG,2014,diesel
mercedes,Mercedes-Benz Klasa G AMG 63,2022,petrol
bmw,BMW Seria 3 318i,2017,petrol
ford,Ford Puma 1.0 EcoBoost Trend,2021,petrol
skoda,Skoda Kodiaq 1.5 TSI ACT 4x2 Ambition DSG,1993,petrol
bmw,BMW Seria 3 318i Advantage,2022,petrol
skoda,Skoda Kodiaq 1.5 TSI ACT 4x2 Ambition DSG,2023,petrol
ford,Ford Puma 1.0 EcoBoost Trend,2021,petrol
mini,MINI Countryman Cooper SE ALL4,2023,hybrid
bmw,BMW M8 Competition,2023,petrol
"","","",""
skoda,Skoda Kodiaq 1.5 TSI ACT 4x2 Ambition DSG,2023,petrol
hyundai,Hyundai I30 1.6 CRDi Comfort,2016,diesel
mini,MINI Countryman Cooper SE ALL4,2023,hybrid
bmw,BMW M8 Competition,2023,petrol
bmw,BMW Seria 3 318i Advantage,2022,petrol
jeep,Jeep Cherokee,1993,petrol
ford,Ford Mustang Mach-E RWD,2022,electric
mini,MINI John Cooper Works sport,2023,petrol
volkswagen,Volkswagen T-Roc 1.0 TSI Life,2023,petrol
dacia,Dacia Dokker Van,2015,petrol
audi,Audi RS Q3,2021,petrol
peugeot,Peugeot 407,2009,diesel
mazda,Mazda Premacy,2005,petrol
lancia,Lancia Ypsilon Y 0.9 TwinAir Turbo 8V Automatik Gold,2015,petrol
